Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
1/20 9:41:06 AM,30,Kitchen Sink,2.089,1.776,0.313
1/20 10:05:18 AM,6,Kitchen Sink,1.826,1.552,0.274
1/20 4:12:48 PM,6,Kitchen Sink,1.351,1.149,0.202
1/20 4:14:48 PM,66,Kitchen Sink,0.833,0.708,0.125
1/20 4:16:42 PM,36,Kitchen Sink,1.159,0.985,0.174
1/20 4:18:36 PM,42,Kitchen Sink,0.342,0.291,0.051
1/20 4:34:36 PM,60,Sink 4,0.724,0.616,0.108
1/20 4:34:48 PM,54,Kitchen Sink,0.362,0.308,0.054
1/20 6:15:48 PM,96,CW,2.96,2.960,0.000
1/20 6:20:48 PM,72,CW,2.25,2.250,0.000
1/20 6:25:42 PM,96,CW,2.731,2.731,0.000
1/20 6:30:42 PM,78,CW,0.846,0.846,0.000
1/20 6:35:12 PM,18,Kitchen Sink,1.05,0.893,0.157
1/20 6:35:42 PM,54,CW,2.564,2.564,0.000
1/20 7:07:06 PM,6,Kitchen Sink,1.878,1.597,0.281
1/20 7:09:00 PM,18,Kitchen Sink,1.133,0.963,0.170
1/20 7:10:24 PM,12,Kitchen Sink,1.127,0.958,0.169
1/20 7:43:12 PM,18,Sink 3,0.128,0.109,0.019
1/20 7:45:06 PM,78,Kitchen Sink,1.914,1.627,0.287
1/20 8:07:48 PM,6,Sink 3,0.17,0.145,0.025
1/20 8:09:42 PM,24,Sink 2,1.702,1.447,0.255
1/20 8:11:42 PM,54,Kitchen Sink,0.381,0.324,0.057
1/20 8:23:48 PM,18,Kitchen Sink,0.477,0.406,0.071
1/20 8:25:48 PM,54,Kitchen Sink,1.049,0.892,0.157
1/20 8:27:42 PM,6,Sink 3,0.394,0.335,0.059
1/20 8:48:18 PM,78,DW1,1.158,1.158,0.000
1/20 8:58:06 PM,102,DW1,1.257,1.257,0.000
1/20 9:07:54 PM,72,DW1,1.286,1.286,0.000
1/20 9:17:36 PM,96,DW1,1.645,1.645,0.000
1/20 9:27:24 PM,102,DW1,1.436,1.436,0.000
1/20 9:32:54 PM,36,Kitchen Sink,1.169,0.994,0.175
1/20 10:29:06 PM,48,Kitchen Sink,1.181,1.004,0.177
