Capacity,Power,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
675,4500,121.2116,121.1,118.9616,111.875,111.875,1857.54155684
675,4500,121.2116,121.1,119.1866,111.9866,111.7616,1862.86169004
675,4500,121.2116,121.1,119.3,112.1,111.7616,1868.25172901
675,4500,121.2116,121.1,119.3,112.325,111.9866,1873.57144189
675,4500,121.2116,121.1,119.075,112.4366,112.775,1879.72220993
600,4500,121.2116,121.1,118.625,112.4366,112.775,1886.70178795
600,4500,121.2116,121.1,118.9616,112.4366,112.55,1892.02218103
600,4500,121.2116,121.1,118.7366,112.6616,112.55,1897.34164691
600,4500,121.2116,121.1,117.6116,112.775,112.55,1902.66182804
600,4500,121.2116,121.1,117.6116,112.8866,112.6616,1907.9814949
600,4500,121.2116,121.1,117.6116,113.0,112.775,1913.30224991
600,4500,121.2116,121.1,118.2866,113.1116,113.225,1918.83175087
600,4500,121.2116,121.1,117.6116,113.3366,113.5616,1924.15177584
600,4500,121.2116,121.1,116.9366,113.45,113.675,1929.47182894
600,4500,121.2116,121.1,117.05,113.45,113.7866,1934.8114109
600,4500,121.2116,121.1,117.1616,113.7866,114.0116,1941.79134488
525,4500,121.2116,121.1,116.9366,113.9,114.125,1947.11343503
525,4500,121.2116,121.1,117.3866,114.0116,114.4616,1954.10199785
525,4500,121.2116,121.1,117.725,114.0116,114.575,1959.54109001
525,4500,121.2116,121.1,117.5,114.2366,114.4616,1966.03463984
525,4500,121.2116,121.1,117.1616,114.4616,114.35,1971.37142086
525,4500,121.2116,120.9866,117.1616,114.575,114.575,1977.54201698
525,4500,121.2116,121.1,117.3866,114.8,115.475,1985.36186695
525,4500,121.2116,121.1,117.3866,114.8,115.475,1991.51256204
525,4500,121.2116,120.9866,117.1616,115.025,115.475,1996.83179593
450,4500,121.2116,121.1,117.275,115.025,116.2616,2002.20166993
450,4500,121.2116,120.9866,117.1616,115.025,115.925,2008.37129593
450,4500,121.2116,120.9866,117.1616,115.25,115.7,2014.53151393
450,4500,121.2116,120.9866,117.5,115.475,115.5866,2019.85110998
450,4500,121.2116,120.9866,117.3866,115.5866,115.3616,2025.17141485
450,4500,121.2116,121.1,117.275,115.7,115.7,2030.49137092
450,4500,121.2116,120.9866,117.1616,115.7,115.7,2036.64131594
450,4500,121.2116,121.1,117.1616,115.8116,115.7,2044.45157504
450,4500,121.2116,121.1,117.275,115.925,116.4866,2049.77135897
450,4500,121.2116,121.1,117.1616,116.0366,116.4866,2055.92169285
375,4500,121.2116,121.1,117.3866,116.15,116.15,2061.24176502
375,4500,121.2116,121.1,117.5,116.375,115.925,2066.56179094
375,4500,121.2116,121.1,117.3866,116.4866,115.925,2072.82158303
375,4500,121.2116,121.1,117.5,116.6,115.925,2078.14133191
375,4500,121.2116,121.1,117.725,116.6,116.6,2084.29207587
375,4500,121.2116,121.1,117.8366,116.7116,117.725,2090.44093585
375,4500,121.2116,120.9866,118.175,116.7116,117.8366,2095.76215601
375,4500,121.2116,121.1,118.2866,116.9366,117.6116,2101.91143894
375,4500,121.2116,120.9866,118.2866,117.05,117.1616,2108.06188583
375,4500,121.2116,120.9866,118.2866,117.275,117.5,2115.17140388
375,4500,121.2116,121.1,118.175,117.5,118.2866,2122.15109587
375,4500,121.2116,120.9866,118.2866,117.725,118.175,2127.47137499
375,4500,121.2116,121.1,118.2866,117.725,117.8366,2132.80187988
375,4500,121.2116,120.9866,118.2866,117.725,117.725,2138.12239194
375,4500,121.2116,120.875,118.2866,117.8366,117.5,2143.44154882
375,4500,121.2116,120.7616,118.2866,117.95,117.5,2148.76157689
375,4500,121.2116,120.875,118.4,117.95,117.8366,2154.16159105
375,4500,121.2116,120.875,118.5116,118.0616,117.8366,2161.140975
375,4500,121.2116,120.875,118.625,118.2866,117.95,2166.46161485
375,4500,121.2116,120.9866,118.625,118.2866,118.2866,2174.27136493
375,4500,121.2116,120.7616,118.85,118.85,118.4,2180.42153287
300,4500,121.2116,120.3116,118.85,118.85,118.625,2188.24144983
300,4500,121.2116,119.975,118.9616,118.85,118.4,2193.56103206
300,4500,121.2116,119.8616,118.9616,118.9616,118.5116,2198.88295388
300,4500,121.2116,120.0866,119.075,118.9616,118.85,2204.20159793
300,4500,121.2116,120.3116,119.075,119.075,118.7366,2211.52182889
300,4500,121.2116,120.0866,119.075,119.075,118.7366,2216.84151602
300,4500,121.2116,120.0866,119.4116,119.1866,118.7366,2222.16115093
300,4500,121.2116,120.0866,119.525,119.1866,118.9616,2228.31173301
300,4500,121.2116,120.0866,119.525,119.3,118.85,2233.66177702
300,4500,121.2116,120.0866,119.6366,119.4116,118.85,2238.98172283
225,4500,121.2116,120.2,119.75,119.4116,118.85,2244.30100393
225,4500,121.2116,120.425,119.975,119.525,118.85,2252.12153292
225,4500,121.2116,120.425,120.0866,119.6366,118.9616,2257.44166684
225,4500,121.2116,120.425,120.3116,119.75,119.6366,2262.77233887
225,4500,121.2116,120.5366,120.3116,119.8616,119.6366,2268.92178488
225,4500,121.2116,120.5366,120.425,119.975,119.8616,2274.24136996
225,4500,121.2116,120.5366,120.425,120.0866,119.8616,2279.57174397
225,4500,121.1,120.425,120.425,120.0866,119.75,2284.90099096
225,4500,120.9866,120.425,120.425,120.2,119.6366,2290.23182082
225,4500,120.9866,120.425,120.425,120.2,119.6366,2296.38218784
225,4500,120.9866,120.5366,120.425,120.425,119.6366,2301.70165706
225,4500,120.9866,120.5366,120.65,120.425,119.75,2307.02169585
225,4500,120.9866,120.5366,120.65,120.5366,119.975,2312.34159684
225,4500,120.9866,120.65,120.7616,120.5366,120.425,2318.50145388
225,4500,120.875,120.7616,120.875,120.65,120.5366,2324.76194692
225,4500,120.875,120.875,120.875,120.65,120.3116,2330.911448
225,4500,120.875,120.875,120.875,120.7616,120.3116,2336.2320559
225,4500,120.875,120.875,120.9866,120.9866,120.2,2343.21174693
225,4500,120.875,120.875,120.9866,120.9866,120.3116,2348.53181601
225,4500,120.875,120.875,120.9866,120.9866,120.3116,2353.86247993
225,4500,120.9866,120.875,121.1,120.9866,120.425,2360.01148891
150,4500,120.9866,120.875,121.2116,120.9866,120.425,2365.51085782
150,4500,120.9866,120.9866,121.325,121.1,120.425,2373.323138
150,4500,121.1,121.1,121.325,121.1,120.5366,2380.30153084
